iter	Passed	Remaining
0	244	244667
1	247	123277
2	249	82979
3	251	62676
4	253	50464
5	255	42311
6	258	36600
7	260	32256
8	262	28850
9	264	26165
10	266	23937
11	268	22074
12	270	20503
13	272	19189
14	274	18045
15	276	17016
16	278	16112
17	280	15314
18	282	14598
19	284	13943
20	287	13412
21	289	12876
22	291	12379
23	293	11926
24	295	11507
25	296	11123
26	298	10765
27	301	10451
28	303	10159
29	305	9877
30	307	9604
31	309	9349
32	310	9112
33	312	8890
34	314	8682
35	317	8499
36	319	8313
37	321	8132
38	323	7966
39	325	7806
40	327	7653
41	329	7516
42	331	7387
43	333	7255
44	336	7141
45	338	7030
46	340	6911
47	342	6796
48	345	6714
49	348	6615
50	350	6512
51	351	6413
52	353	6321
53	355	6230
54	357	6148
55	360	6084
56	362	6004
57	368	5982
58	370	5907
59	372	5833
60	374	5760
61	375	5688
62	377	5621
63	380	5558
64	382	5506
65	385	5449
66	386	5388
67	388	5328
68	390	5272
69	392	5218
70	394	5164
71	397	5120
72	399	5073
73	401	5023
74	403	4974
75	405	4931
76	407	4882
77	409	4835
78	410	4791
79	413	4753
80	415	4712
81	417	4670
82	418	4619
83	420	4582
84	422	4547
85	424	4511
86	426	4479
87	429	4448
88	431	4413
89	433	4379
90	434	4344
91	436	4311
92	438	4278
93	440	4248
94	443	4226
95	445	4197
96	447	4166
97	449	4137
98	451	4107
99	453	4078
100	455	4050
101	458	4036
102	460	4009
103	462	3982
104	464	3955
105	465	3929
106	467	3904
107	469	3879
108	471	3857
109	474	3837
110	476	3815
111	478	3796
112	481	3775
113	482	3753
114	484	3730
115	487	3712
116	489	3691
117	491	3676
118	494	3658
119	496	3640
120	498	3619
121	499	3596
122	502	3584
123	505	3568
124	506	3548
125	508	3529
126	510	3508
127	512	3489
128	514	3472
129	516	3455
130	518	3442
131	520	3425
132	522	3407
133	524	3390
134	526	3373
135	528	3355
136	530	3338
137	534	3337
138	536	3323
139	539	3311
140	541	3299
141	543	3281
142	545	3267
143	548	3261
144	551	3250
145	553	3236
146	555	3223
147	557	3210
148	560	3198
149	562	3187
150	564	3175
151	566	3162
152	568	3149
153	571	3138
154	573	3124
155	575	3111
156	578	3104
157	580	3092
158	582	3079
159	583	3065
160	585	3049
161	587	3038
162	589	3025
163	591	3013
164	593	3003
165	595	2993
166	597	2980
167	599	2968
168	601	2956
169	603	2944
170	605	2933
171	607	2923
172	609	2915
173	611	2904
174	613	2894
175	615	2883
176	618	2873
177	620	2863
178	622	2853
179	624	2846
180	626	2836
181	629	2827
182	631	2819
183	633	2808
184	635	2798
185	638	2792
186	640	2784
187	642	2774
188	644	2765
189	646	2755
190	648	2746
191	650	2739
192	653	2732
193	655	2724
194	657	2716
195	660	2709
196	662	2700
197	664	2691
198	666	2682
199	668	2675
200	671	2667
201	672	2658
202	674	2649
203	676	2641
204	678	2632
205	680	2623
206	683	2616
207	685	2609
208	687	2602
209	689	2593
210	691	2585
211	693	2576
212	694	2567
213	696	2559
214	699	2552
215	701	2545
216	703	2537
217	705	2529
218	706	2521
219	708	2513
220	710	2506
221	713	2499
222	715	2494
223	717	2486
224	719	2478
225	721	2471
226	723	2463
227	725	2455
228	727	2449
229	730	2446
230	733	2441
231	735	2435
232	737	2428
233	739	2421
234	741	2414
235	744	2409
236	746	2403
237	748	2397
238	751	2394
239	753	2386
240	755	2379
241	757	2373
242	760	2368
243	762	2361
244	763	2353
245	765	2346
246	767	2339
247	769	2332
248	771	2326
249	773	2320
250	775	2315
251	777	2308
252	779	2301
253	781	2294
254	783	2288
255	785	2281
256	787	2275
257	789	2270
258	791	2264
259	793	2257
260	795	2251
261	797	2244
262	798	2238
263	800	2232
264	802	2226
265	805	2221
266	807	2215
267	808	2209
268	810	2203
269	812	2197
270	814	2191
271	816	2184
272	818	2180
273	821	2175
274	823	2170
275	824	2164
276	826	2158
277	828	2152
278	830	2146
279	834	2145
280	836	2139
281	838	2134
282	840	2128
283	841	2122
284	843	2116
285	845	2110
286	847	2105
287	850	2102
288	852	2097
289	855	2093
290	858	2091
291	860	2086
292	862	2080
293	865	2078
294	867	2072
295	869	2067
296	871	2061
297	872	2056
298	874	2051
299	876	2045
300	878	2040
301	881	2036
302	883	2031
303	884	2025
304	886	2020
305	888	2015
306	890	2010
307	892	2005
308	895	2001
309	897	1997
310	899	1992
311	900	1986
312	902	1981
313	904	1976
314	906	1970
315	908	1966
316	911	1962
317	912	1957
318	914	1953
319	916	1947
320	918	1942
321	920	1937
322	921	1932
323	924	1929
324	926	1925
325	928	1920
326	930	1915
327	932	1910
328	934	1905
329	936	1900
330	938	1895
331	940	1892
332	942	1888
333	944	1883
334	947	1880
335	949	1875
336	951	1871
337	953	1866
338	955	1863
339	957	1858
340	959	1854
341	961	1849
342	963	1845
343	966	1842
344	967	1837
345	970	1834
346	972	1830
347	974	1825
348	976	1820
349	977	1816
350	979	1811
351	981	1806
352	983	1802
353	986	1799
354	988	1795
